idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,jammer_x,jammer_y,file_idx,file
1,0,4.152573252877113,False,True,-0.0422793242438475,0.637243383294786,,False,1.6069527354162545,1.351529270005447,,False,1.0892753613916726,0.751094017890158,1,evaluation_states_K2_n10000.csv
2,1,4.152573252877113,False,True,-0.029038990755064838,0.43768213062006006,,True,1.6069527354162545,1.351529270005447,,False,1.1121159436479755,0.6537374166645963,1,evaluation_states_K2_n10000.csv
3,2,4.152573252877113,False,True,0.16606126657772521,0.48168087592806974,,True,1.6069527354162545,1.351529270005447,,False,1.1349565259042784,0.5563808154390346,1,evaluation_states_K2_n10000.csv
4,3,4.152573252877113,False,True,0.36116152391051526,0.5256796212360795,,True,1.6069527354162545,1.351529270005447,,False,1.1577971081605813,0.45902421421347295,1,evaluation_states_K2_n10000.csv
5,4,4.152573252877113,False,True,0.5562617812433053,0.5696783665440892,,True,1.5769151865331354,1.1537977711058174,,False,1.1806376904168843,0.3616676129879113,1,evaluation_states_K2_n10000.csv
6,5,4.152573252877113,False,True,0.7513620385760953,0.6136771118520989,,True,1.5468776376500164,0.9560662722061878,,False,1.2034782726731872,0.2643110117623496,1,evaluation_states_K2_n10000.csv
7,6,4.152573252877113,False,True,0.9464622959088853,0.6576758571601087,,True,1.5212400611790737,0.78729895888515,,True,1.22631885492949,0.16695441053678792,1,evaluation_states_K2_n10000.csv
8,7,4.152573252877113,False,True,1.1415625532416753,0.7016746024681183,,True,1.7128473740428105,0.7299697546595711,,True,1.249159437185793,0.06959780931122622,1,evaluation_states_K2_n10000.csv
9,8,4.152573252877113,False,True,1.1415625532416753,0.7016746024681183,,True,1.904454686906547,0.6726405504339923,,True,1.272000019442096,-0.027758791914335473,1,evaluation_states_K2_n10000.csv
10,9,4.152573252877113,False,True,1.1415625532416753,0.7016746024681183,,True,2.0960619997702836,0.6153113462084134,,True,1.2948406016983989,-0.12511539313989717,1,evaluation_states_K2_n10000.csv
11,10,4.152573252877113,False,True,1.1415625532416753,0.7016746024681183,,True,2.28766931263402,0.5579821419828346,,True,1.3176811839547018,-0.22247199436545886,1,evaluation_states_K2_n10000.csv
12,11,4.152573252877113,False,True,1.1415625532416753,0.7016746024681183,,True,2.4792766254977567,0.5006529377572557,,True,1.3405217662110047,-0.31982859559102056,1,evaluation_states_K2_n10000.csv
13,12,4.152573252877113,False,True,1.1415625532416753,0.7016746024681183,,True,2.6708839383614933,0.4433237335316769,,True,1.3633623484673076,-0.4171851968165823,1,evaluation_states_K2_n10000.csv
14,13,4.152573252877113,False,True,1.1415625532416753,0.7016746024681183,,True,2.86249125122523,0.3859945293060981,,True,1.3862029307236106,-0.514541798042144,1,evaluation_states_K2_n10000.csv
15,14,4.152573252877113,False,True,1.1415625532416753,0.7016746024681183,,True,3.0540985640889664,0.3286653250805193,,True,1.4090435129799135,-0.6118983992677056,1,evaluation_states_K2_n10000.csv
16,15,4.152573252877113,False,True,1.1415625532416753,0.7016746024681183,,True,3.245705876952703,0.2713361208549405,,True,1.4318840952362164,-0.7092550004932673,1,evaluation_states_K2_n10000.csv
17,16,4.152573252877113,False,True,1.1415625532416753,0.7016746024681183,,True,3.4373131898164395,0.21400691662936172,,True,1.4547246774925193,-0.806611601718829,1,evaluation_states_K2_n10000.csv
