idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,agent3_x,agent3_y,agent3_phi,agent3_has_message,agent4_x,agent4_y,agent4_phi,agent4_has_message,agent5_x,agent5_y,agent5_phi,agent5_has_message,jammer_x,jammer_y,file_idx,file
1,0,7.047286498801027,False,True,-0.3964018681465346,-1.262644859153033,,False,2.1724684558754057,0.8670495822130966,,False,3.584365388790266,-2.7504583213771387,,False,5.457232258063403,-3.640700002013791,,False,5.849534386897304,0.4068232391244202,,False,2.840852706880215,-0.8896342779715511,0,evaluation_states_K5_n10000.csv
2,1,7.047286498801027,False,True,-0.33649560747460966,-1.071827564516757,,False,2.1724684558754057,0.8670495822130966,,False,3.584365388790266,-2.7504583213771387,,False,5.457232258063403,-3.640700002013791,,False,5.849534386897304,0.4068232391244202,,False,2.9394200188122372,-0.872767594287571,0,evaluation_states_K5_n10000.csv
3,2,7.047286498801027,False,True,-0.2765893468026847,-0.8810102698804809,,False,2.1724684558754057,0.8670495822130966,,False,3.584365388790266,-2.7504583213771387,,False,5.457232258063403,-3.640700002013791,,False,5.849534386897304,0.4068232391244202,,False,3.0379873307442593,-0.8559009106035909,0,evaluation_states_K5_n10000.csv
4,3,7.047286498801027,False,True,-0.2166830861307598,-0.6901929752442049,,True,2.1724684558754057,0.8670495822130966,,False,3.584365388790266,-2.7504583213771387,,False,5.457232258063403,-3.640700002013791,,False,5.849534386897304,0.4068232391244202,,False,3.1365546426762814,-0.8390342269196107,0,evaluation_states_K5_n10000.csv
5,4,7.047286498801027,False,True,-0.01678114097575062,-0.6839310008555867,,True,2.1724684558754057,0.8670495822130966,,False,3.584365388790266,-2.7504583213771387,,False,5.457232258063403,-3.640700002013791,,False,5.849534386897304,0.4068232391244202,,False,3.2351219546083034,-0.8221675432356306,0,evaluation_states_K5_n10000.csv
6,5,7.047286498801027,False,True,0.18312080417925855,-0.6776690264669685,,True,2.1966315181633402,0.6685145817198097,,False,3.558608886085439,-2.552123749079679,,False,5.457232258063403,-3.640700002013791,,False,5.849534386897304,0.4068232391244202,,False,3.3336892665403255,-0.8053008595516504,0,evaluation_states_K5_n10000.csv
7,6,7.047286498801027,False,True,0.3830227493342677,-0.6714070520783503,,True,2.2207945804512748,0.46997958122652284,,False,3.532852383380612,-2.3537891767822194,,False,5.457232258063403,-3.640700002013791,,False,5.849534386897304,0.4068232391244202,,False,3.4322565784723476,-0.7884341758676703,0,evaluation_states_K5_n10000.csv
8,7,7.047286498801027,False,True,0.5829246944892769,-0.6651450776897321,,True,2.2449576427392093,0.271444580733236,,False,3.5070958806757853,-2.15545460448476,,False,5.457232258063403,-3.640700002013791,,False,5.849534386897304,0.4068232391244202,,False,3.5308238904043696,-0.7715674921836901,0,evaluation_states_K5_n10000.csv
9,8,7.047286498801027,False,True,0.782826639644286,-0.6588831033011139,,True,2.269120705027144,0.07290958023994917,,False,3.4813393779709583,-1.9571200321873001,,False,5.431475755358576,-3.4423654297163315,,False,5.849534386897304,0.4068232391244202,,False,3.6293912023363917,-0.75470080849971,0,evaluation_states_K5_n10000.csv
10,9,7.047286498801027,False,True,0.9827285847992951,-0.6526211289124957,,True,2.2932837673150783,-0.12562542025333764,,False,3.4555828752661317,-1.7587854598898405,,False,5.40571925265375,-3.244030857418872,,False,5.849534386897304,0.4068232391244202,,False,3.7279585142684137,-0.7378341248157299,0,evaluation_states_K5_n10000.csv
11,10,7.047286498801027,False,True,1.1826305299543043,-0.6463591545238775,,True,2.317446829603013,-0.3241604207466245,,False,3.4298263725613047,-1.5604508875923808,,False,5.379962749948923,-3.045696285121412,,False,5.849534386897304,0.4068232391244202,,False,3.826525826200436,-0.7209674411317497,0,evaluation_states_K5_n10000.csv
12,11,7.047286498801027,False,True,1.3825324751093135,-0.6400971801352593,,True,2.3416098918909474,-0.5226954212399113,,False,3.404069869856478,-1.3621163152949212,,False,5.354206247244097,-2.8473617128239526,,False,5.849534386897304,0.4068232391244202,,False,3.925093138132458,-0.7041007574477696,0,evaluation_states_K5_n10000.csv
13,12,7.047286498801027,False,True,1.5824344202643228,-0.6338352057466412,,True,2.352201628126344,-0.6097220709940387,,True,3.378313367151651,-1.1637817429974615,,False,5.32844974453927,-2.649027140526493,,False,5.849534386897304,0.4068232391244202,,False,4.02366045006448,-0.6872340737637894,0,evaluation_states_K5_n10000.csv
14,13,7.047286498801027,False,True,1.782336365419332,-0.627573231358023,,True,2.548201869174905,-0.6495203813715654,,True,3.3525568644468247,-0.9654471707000019,,False,5.302693241834443,-2.4506925682290333,,False,5.849534386897304,0.4068232391244202,,False,4.122227761996503,-0.6703673900798093,0,evaluation_states_K5_n10000.csv
15,14,7.047286498801027,False,True,1.782336365419332,-0.627573231358023,,True,2.7442021102234664,-0.6893186917490921,,True,3.3322028333691494,-0.8087136228816723,,True,5.276936739129616,-2.2523579959315736,,False,5.849534386897304,0.4068232391244202,,False,4.220795073928525,-0.6535007063958291,0,evaluation_states_K5_n10000.csv
16,15,7.047286498801027,False,True,1.782336365419332,-0.627573231358023,,True,2.9402023512720277,-0.7291170021266189,,True,3.5317006529356108,-0.8228776614380883,,True,5.251180236424789,-2.054023423634114,,False,5.849534386897304,0.4068232391244202,,False,4.319362385860548,-0.636634022711849,0,evaluation_states_K5_n10000.csv
